"","Sample.Key","Type","Site","Analyst","Mass.of.Soil","Total.Volume","Concentration","metal","CPS","RSD"
"1",6,"Sample","C","MRMJ",1.5009,45,NA,"Cr53",0.239986153226311,0.399571413656297
"2",6,"Sample","C","MRMJ",1.5009,45,NA,"Cd111",0.0033962456386282,6.82365692481553
"3",6,"Sample","C","MRMJ",1.5009,45,NA,"Cr52",1.96511777822544,0.439949975435328
"4",6,"Sample","C","MRMJ",1.5009,45,NA,"Cd114",0.011823345397584,1.95247380630831
"5",6,"Sample","C","MRMJ",1.5009,45,NA,"As75",0.0341346374264537,2.01832238919667
"6",6,"Sample","C","MRMJ",1.5009,45,NA,"Pb208",5.55775150496329,1.00540330369183
"7",7,"Sample","MB","MRMJ",0,45,NA,"Pb208",0.0108111407613155,55.8259362906601
"8",7,"Sample","MB","MRMJ",0,45,NA,"As75",0.00559475066644114,2.66249534789139
"9",7,"Sample","MB","MRMJ",0,45,NA,"Cr53",0.0131886150745002,5.24752240794276
"10",7,"Sample","MB","MRMJ",0,45,NA,"Cd114",0.000803037694917434,36.8798382184987
"11",7,"Sample","MB","MRMJ",0,45,NA,"Cr52",0.107136663181276,4.37681442278302
"12",7,"Sample","MB","MRMJ",0,45,NA,"Cd111",0.000388332142802226,106.42522280842
"13",8,"Sample","E","ARG",1.5423,50,NA,"As75",0.0255988312747231,0.474078427116551
"14",8,"Sample","E","ARG",1.5423,50,NA,"Cd111",0.0023121536414962,9.32945338750535
"15",8,"Sample","E","ARG",1.5423,50,NA,"Cr52",0.858528412505245,0.44406668287492
"16",8,"Sample","E","ARG",1.5423,50,NA,"Pb208",2.25952996915332,0.493147160023496
"17",8,"Sample","E","ARG",1.5423,50,NA,"Cr53",0.104492945355755,0.0862769549504175
"18",8,"Sample","E","ARG",1.5423,50,NA,"Cd114",0.00622053976655978,0.649528384497309
"19",9,"Sample","MB","ARG",0,50,NA,"As75",0.00601797218883228,4.84860767189493
"20",9,"Sample","MB","ARG",0,50,NA,"Pb208",0.0200253059606874,1.81240981031622
"21",9,"Sample","MB","ARG",0,50,NA,"Cr53",0.0127409621781059,1.30057115231035
"22",9,"Sample","MB","ARG",0,50,NA,"Cd114",0.0010393003197976,1.25382651788342
"23",9,"Sample","MB","ARG",0,50,NA,"Cr52",0.105619507606532,1.48358454178944
"24",9,"Sample","MB","ARG",0,50,NA,"Cd111",0.000357853125849255,18.742985078175
"25",10,"Sample","F","CYT",1.4935,46,NA,"Cr53",0.0360836745943431,0.270455082534076
"26",10,"Sample","F","CYT",1.4935,46,NA,"Pb208",0.559189528780998,0.460066460915433
"27",10,"Sample","F","CYT",1.4935,46,NA,"Cd111",0.00112127211004283,16.1324548399001
"28",10,"Sample","F","CYT",1.4935,46,NA,"As75",0.0127343981672634,0.0389116448299085
"29",10,"Sample","F","CYT",1.4935,46,NA,"Cd114",0.00281223431159872,0.715780548908414
"30",10,"Sample","F","CYT",1.4935,46,NA,"Cr52",0.297503693986963,0.481161667848264
"31",11,"Sample","MB","CYT",0,46,NA,"Pb208",0.0153832943644901,4.29270199522973
"32",11,"Sample","MB","CYT",0,46,NA,"Cr52",0.121507215575874,0.732503682533621
"33",11,"Sample","MB","CYT",0,46,NA,"Cd114",0.000564974408496985,10.1904863216506
"34",11,"Sample","MB","CYT",0,46,NA,"Cd111",0.000155248057159748,58.9849934578543
"35",11,"Sample","MB","CYT",0,46,NA,"As75",0.00599926175665269,12.358968535156
"36",11,"Sample","MB","CYT",0,46,NA,"Cr53",0.0143719934374109,2.21746241033156
"37",12,"Sample","F","DJHR",1.516,43,NA,"Cr52",0.920569867808142,0.491847907040392
"38",12,"Sample","F","DJHR",1.516,43,NA,"Cd111",0.00225805159704654,9.74068479994447
"39",12,"Sample","F","DJHR",1.516,43,NA,"Cd114",0.00659538169498042,3.06027148930931
"40",12,"Sample","F","DJHR",1.516,43,NA,"As75",0.0364409232902763,1.62021984801796
"41",12,"Sample","F","DJHR",1.516,43,NA,"Pb208",2.47192504848637,0.380941168000816
"42",12,"Sample","F","DJHR",1.516,43,NA,"Cr53",0.112047617903398,0.427428593068195
"43",13,"Sample","QC","DJHR",1.4923,43,NA,"Cd114",0.125085813297278,2.95943992743923
"44",13,"Sample","QC","DJHR",1.4923,43,NA,"Pb208",25.0997930611472,5.99408955156184
"45",13,"Sample","QC","DJHR",1.4923,43,NA,"Cr53",0.428544775354104,1.04838167176503
"46",13,"Sample","QC","DJHR",1.4923,43,NA,"Cr52",3.51907785571958,1.74020201782503
"47",13,"Sample","QC","DJHR",1.4923,43,NA,"Cd111",0.047812501251638,8.87057036083721
"48",13,"Sample","QC","DJHR",1.4923,43,NA,"As75",0.105680831561084,5.50268186120464
"49",14,"Sample","D","CAG",1.50621,50,NA,"As75",0.0220242567675904,0.659227770034353
"50",14,"Sample","D","CAG",1.50621,50,NA,"Cd114",0.0115101410224326,1.58849490403459
"51",14,"Sample","D","CAG",1.50621,50,NA,"Cr53",0.124317157816081,0.197386835123198
"52",14,"Sample","D","CAG",1.50621,50,NA,"Pb208",2.79603540004199,0.347974591088561
"53",14,"Sample","D","CAG",1.50621,50,NA,"Cr52",1.00979276977879,0.229215192547585
"54",14,"Sample","D","CAG",1.50621,50,NA,"Cd111",0.00301824185423762,3.30070472495406
"55",15,"Sample","QC","CAG",1.48989,50,NA,"Pb208",25.2453711233661,0.550415482602013
"56",15,"Sample","QC","CAG",1.48989,50,NA,"As75",0.105893510686526,0.320439262321912
"57",15,"Sample","QC","CAG",1.48989,50,NA,"Cr53",0.43142736036266,0.214561112819567
"58",15,"Sample","QC","CAG",1.48989,50,NA,"Cd111",0.0461030278593307,1.46509643218673
"59",15,"Sample","QC","CAG",1.48989,50,NA,"Cd114",0.121890264815737,0.248982815615645
"60",15,"Sample","QC","CAG",1.48989,50,NA,"Cr52",3.5120846706817,0.533998927683943
"61",16,"Sample","F","JHV",1.5063,45,NA,"Cd114",0.00813445932193722,3.05231537898228
"62",16,"Sample","F","JHV",1.5063,45,NA,"Cd111",0.0027234303372798,5.74860446924834
"63",16,"Sample","F","JHV",1.5063,45,NA,"Pb208",3.29394456865724,0.867016428394561
"64",16,"Sample","F","JHV",1.5063,45,NA,"As75",0.0479478166357049,0.140476399181377
"65",16,"Sample","F","JHV",1.5063,45,NA,"Cr52",1.27373061253778,0.927604264004839
"66",16,"Sample","F","JHV",1.5063,45,NA,"Cr53",0.154026132052872,0.443390039235114
"67",17,"Sample","QC","JHV",1.5236,45,NA,"Cd114",0.135825364619047,0.781079130761906
"68",17,"Sample","QC","JHV",1.5236,45,NA,"Cd111",0.0532937264790605,3.21297401429214
"69",17,"Sample","QC","JHV",1.5236,45,NA,"Pb208",28.337857215089,0.956074780202545
"70",17,"Sample","QC","JHV",1.5236,45,NA,"As75",0.120205743653166,1.07760746813175
"71",17,"Sample","QC","JHV",1.5236,45,NA,"Cr52",4.00221248064462,1.44198490578173
"72",17,"Sample","QC","JHV",1.5236,45,NA,"Cr53",0.491530888162436,0.836391028415578
"73",18,"Sample","D","SJB",1.55,45,NA,"Cr53",0.126633988573814,1.62596927671482
"74",18,"Sample","D","SJB",1.55,45,NA,"Cr52",1.03636654267685,1.97976063630436
"75",18,"Sample","D","SJB",1.55,45,NA,"Pb208",2.64709571066123,0.529554393845091
"76",18,"Sample","D","SJB",1.55,45,NA,"Cd114",0.0119983955048352,2.06621596257211
"77",18,"Sample","D","SJB",1.55,45,NA,"Cd111",0.00279036409470711,24.9446435598486
"78",18,"Sample","D","SJB",1.55,45,NA,"As75",0.0259657040769997,1.86086669046604
"79",19,"Sample","QC","SJB",1.53,45,NA,"Cr52",2.85159334436487,0.256192595620065
"80",19,"Sample","QC","SJB",1.53,45,NA,"Cr53",0.348982092065349,0.0606606823742651
"81",19,"Sample","QC","SJB",1.53,45,NA,"Cd111",0.0493106169912958,2.13997630345448
"82",19,"Sample","QC","SJB",1.53,45,NA,"Pb208",26.6494804436738,0.355519021441219
"83",19,"Sample","QC","SJB",1.53,45,NA,"As75",0.085960014421115,0.526068181384637
"84",19,"Sample","QC","SJB",1.53,45,NA,"Cd114",0.125080414448584,0.203902412555882
"85",20,"Sample","MB","MD",0,50,NA,"As75",0.00669517765454298,1.40375855288513
"86",20,"Sample","MB","MD",0,50,NA,"Cr53",0.0136542376439606,3.33847085735653
"87",20,"Sample","MB","MD",0,50,NA,"Cd114",0.000764200699253623,13.2159493604322
"88",20,"Sample","MB","MD",0,50,NA,"Cd111",0.000271343020838143,29.7055306340014
"89",20,"Sample","MB","MD",0,50,NA,"Cr52",0.111744762292402,3.29593950179551
"90",20,"Sample","MB","MD",0,50,NA,"Pb208",0.0152995683916309,5.47877937910735
"91",21,"Sample","D","MD",1.5756,50,NA,"Cr53",0.0687614721217896,0.826363568807898
"92",21,"Sample","D","MD",1.5756,50,NA,"As75",0.0175492883723635,2.00513197239373
"93",21,"Sample","D","MD",1.5756,50,NA,"Cd111",0.00304820951773118,18.8180618776832
"94",21,"Sample","D","MD",1.5756,50,NA,"Pb208",6.21982260442536,0.692261073470162
"95",21,"Sample","D","MD",1.5756,50,NA,"Cr52",0.567338197606067,0.873137914741284
"96",21,"Sample","D","MD",1.5756,50,NA,"Cd114",0.00730065488818596,2.19129617445994
"97",22,"Sample","E","SEP",1.6,44,NA,"Pb208",2.80412320825117,0.332180302465144
"98",22,"Sample","E","SEP",1.6,44,NA,"Cd114",0.00938435716004957,0.676508542884181
"99",22,"Sample","E","SEP",1.6,44,NA,"As75",0.0483763489214553,0.673245263571114
"100",22,"Sample","E","SEP",1.6,44,NA,"Cr53",0.223452888183183,0.22521311840171
"101",22,"Sample","E","SEP",1.6,44,NA,"Cd111",0.00290721293348705,3.95163079822893
"102",22,"Sample","E","SEP",1.6,44,NA,"Cr52",1.82041204546551,0.426291217324542
"103",23,"Sample","QC","SEP",1.0136,42.5,NA,"Cr52",3.03918909857616,0.64041321339924
"104",23,"Sample","QC","SEP",1.0136,42.5,NA,"Cd114",0.101357265072159,1.29409283551852
